rule_id,pre_value_source,pre_count,pre_percent,post_count,post_percent,post_value_source,issue_group,field_path,description,severity,delta_count,delta_pp,severity_rank
R_APP_001,raw,440.0,87.65,440,87.65,clean,Completeness,processing_timestamp,Missing or blank processing timestamp.,high,0.0,0.0,0
R_APP_002,raw,8.0,1.59,8,1.59,derived,Completeness,applicant_info.*,One or more required applicant fields missing or blank.,high,0.0,0.0,0
R_DUP_003,raw,6.0,1.2,6,1.2,raw,Uniqueness,applicant_info.ssn,Rows where SSN repeats across one or more records.,high,0.0,0.0,0
R_APP_003,raw,5.0,1.0,5,1.0,raw,Completeness,applicant_info.ssn|applicant_info.ip_address,Both SSN and IP address missing/blank.,high,0.0,0.0,0
R_DUP_001,metadata,4.0,0.8,4,0.8,metadata,Uniqueness,_id,Rows with duplicated application_id values.,high,0.0,0.0,0
R_DUP_002,metadata,2.0,0.4,2,0.4,metadata,Uniqueness,_id,Distinct application_id keys that are duplicated.,high,0.0,0.0,0
R_DUP_004,raw,2.0,0.4,2,0.4,raw,Uniqueness,applicant_info.ssn,Distinct SSN values that appear across different application IDs.,high,0.0,0.0,0
R_APP_009,raw,39.0,7.77,39,7.77,derived,Consistency,applicant_info.date_of_birth,DOB format is ambiguous NN/NN/YYYY.,medium,0.0,0.0,1
R_APP_018,raw,18.0,3.59,17,3.39,clean,Plausibility,financials.credit_history_months,Loan approved with less than 6 months of credit history.,medium,-1.0,-0.19999999999999973,1
R_APP_017,raw,11.0,2.19,11,2.19,clean,Plausibility,financials.credit_history_months,Loan approved with zero months of credit history.,medium,0.0,0.0,1
R_APP_004,raw,7.0,1.39,7,1.39,clean,Completeness,applicant_info.email,Email missing or blank.,medium,0.0,0.0,1
R_APP_011,raw,5.0,1.0,5,1.0,derived,Consistency,financials.annual_salary,Annual salary provided while annual income missing (field drift).,medium,0.0,0.0,1
R_APP_005,raw,4.0,0.8,4,0.8,clean,Validity,applicant_info.email,Email does not match expected format.,medium,0.0,0.0,1
R_APP_019,raw,497.0,99.0,497,99.0,raw,Synthetic indicator,applicant_info.ip_address,IP address is private-range (likely masked/synthetic).,low,0.0,0.0,2
