priority,control_id,category,title,description,legal_ref,effort,responsible
1,GOV-001,Legal Compliance,Implement consent capture and tracking,"Add consent_timestamp, consent_version, and consent_channel to the application intake form. Store in an immutable log. Required to demonstrate lawful basis under GDPR Art. 6/7.","GDPR Art. 6, Art. 7",Medium,Engineering + Legal
2,GOV-002,Legal Compliance,Define and enforce data retention policy,Establish retention periods per data category. Populate retention_until at intake. Automate deletion or anonymisation at expiry. Document in ROPA (Art. 30).,"GDPR Art. 5(1)(e), Art. 30",Medium,Data Engineering + DPO
3,GOV-003,Security,Encrypt and pseudonymise SSNs,Encrypt SSNs at rest (AES-256). Use salted SHA-256 hash for all analytical processing (already implemented in privacy.py). Restrict raw SSN access to identity verification only.,"GDPR Art. 25, Art. 32",Low,Data Engineering
4,GOV-004,AI Act / Automated Decisions,Implement human oversight mechanism,Add human_review_flag and human_reviewer_id to the decision schema. Require mandatory human review for adverse decisions and borderline cases. Provide an appeal pathway for applicants.,"GDPR Art. 22, EU AI Act Art. 14",High,Product + Operations
5,GOV-005,AI Act / Automated Decisions,Create decision audit trail,"Log model version, feature values, and decision rationale for every application. Retain audit log for minimum 5 years. Required for explainability and Art. 22 compliance.","GDPR Art. 22, EU AI Act Art. 13",Medium,Data Science + Engineering
6,GOV-006,Fairness,Address gender disparate impact (DI = 0.77),"DI ratio of 0.77 is below the four-fifths threshold. Investigate whether financial proxy variables (income, credit history) are driving the gap. Implement fairness constraints in the model or adjust decision thresholds.","EU AI Act Art. 10, GDPR Art. 22",High,Data Science + Legal
7,GOV-007,Transparency,Add data source and processing purpose fields,Populate data_source and processing_purpose at intake. Include data provenance in Privacy Notice. Required where data is not collected directly from the subject.,"GDPR Art. 5(1)(b), Art. 14",Low,Engineering + Legal
8,GOV-008,AI Act,Conduct DPIA and register with EU AI Act database,"Automated credit scoring using profiling requires a DPIA under GDPR Art. 35. As a high-risk AI system under Annex III §5(b), NovaCred must also register in the EU AI Act database before deployment.","GDPR Art. 35, EU AI Act Art. 72",High,DPO + Legal + Management
9,GOV-009,Data Quality,Standardise gender encoding at source,Enforce a controlled vocabulary for gender at intake (Male / Female / Prefer not to say). Reject non-conforming values at the API layer. Eliminates the consistency issue identified in data quality audit.,GDPR Art. 5(1)(d) — Accuracy,Low,Data Engineering
10,GOV-010,Privacy by Design,Apply data minimisation to spending behaviour data,Assess whether all spending categories are necessary for the credit decision. Remove or aggregate categories that do not improve model performance. Document the necessity assessment.,"GDPR Art. 5(1)(c), Art. 25",Medium,Data Science + DPO
