stage,entity,rule_id,flag_name,affected_count,affected_pct,n_rows,example_ids,issue_group,field_path,field_path_annotated,value_source,severity,description
post,applications,R_APP_001,flag_missing_processing_timestamp,440,87.64940239043824,502,"app_037, app_215, app_024, app_275, app_099",Completeness,processing_timestamp,,clean,high,Missing or blank processing timestamp.
post,applications,R_APP_002,flag_missing_required_applicant_field,8,1.593625498007968,502,"app_075, app_413, app_120, app_268, app_377",Completeness,applicant_info.*,,clean,high,One or more required applicant fields missing or blank.
post,applications,R_APP_003,flag_missing_ssn_and_ip,5,0.9960159362549801,502,"app_075, app_120, app_268, app_001, app_165",Completeness,applicant_info.ssn|applicant_info.ip_address,,raw,high,Both SSN and IP address are missing or blank.
post,applications,R_APP_012,flag_credit_history_negative,0,0.0,502,,Validity,financials.credit_history_months,,clean,high,Credit history months is negative.
post,applications,R_APP_013,flag_savings_negative,0,0.0,502,,Validity,financials.savings_balance,,clean,high,Savings balance is negative.
post,applications,R_APP_014,flag_dti_out_of_range,0,0.0,502,,Validity,financials.debt_to_income,,clean,high,"Debt-to-income is outside the allowed range [0, 1]."
post,applications,R_APP_015,flag_approved_missing_required_fields,0,0.0,502,,Cross-field logic,decision.loan_approved,,clean,high,Approved loan is missing interest_rate and/or approved_amount.
post,spending,R_SPN_002,flag_spending_amount_non_numeric,0,0.0,827,,Validity,spending_behavior[].amount,spending_behavior[].amount_clean,derived,high,Spending amount cannot be parsed as numeric.
post,spending,R_SPN_003,flag_spending_amount_negative,0,0.0,827,,Validity,spending_behavior[].amount,spending_behavior[].amount_clean,clean,high,Spending amount is negative.
post,applications,R_APP_009,flag_dob_ambiguous_format,39,7.768924302788845,502,"app_320, app_130, app_367, app_372, app_323",Consistency,applicant_info.date_of_birth,applicant_info.date_of_birth_raw,derived,medium,"Date of birth matches the ambiguous NN/NN/YYYY pattern. When DOB is NN/NN/YYYY and both NN <= 12, parse as MM/DD/YYYY."
post,applications,R_APP_017,flag_approved_credit_history_zero,11,2.1912350597609564,502,"app_195, app_392, app_223, app_144, app_400",Cross-field logic,financials.credit_history_months,,clean,medium,Loan approved with zero months of credit history.
post,applications,R_APP_004,flag_blank_email,7,1.394422310756972,502,"app_075, app_413, app_120, app_268, app_377",Completeness,applicant_info.email,,clean,medium,Email is missing or blank.
post,applications,R_APP_011,flag_financial_field_drift_salary,5,0.9960159362549801,502,"app_436, app_421, app_479, app_463, app_449",Consistency,financials.annual_salary,financials.annual_income_clean,derived,medium,Annual salary is populated instead of annual income.
post,applications,R_APP_005,flag_invalid_email,4,0.796812749003984,502,"app_204, app_299, app_068, app_146",Validity,applicant_info.email,,clean,medium,Email does not match the expected format.
post,applications,R_APP_007,flag_invalid_gender,0,0.0,502,,Validity,applicant_info.gender,,clean,medium,Gender is outside the allowed values.
post,applications,R_APP_016,flag_rejected_missing_reason,0,0.0,502,,Cross-field logic,decision.rejection_reason,,clean,medium,Rejected loan is missing rejection_reason.
post,spending,R_SPN_001,flag_spending_missing_category,0,0.0,827,,Completeness,spending_behavior[].category,,clean,medium,Spending category is missing or blank.
post,applications,R_APP_019,flag_private_ip_address,497,99.00398406374502,502,"app_200, app_037, app_215, app_024, app_184",Privacy,applicant_info.ip_address,,raw,low,IP address is in a private range and likely masked or synthetic.
post,applications,R_APP_006,flag_gender_needs_normalisation,0,0.0,502,,Consistency,applicant_info.gender,applicant_info.gender_clean,clean,low,Gender is not already in canonical form.
post,applications,R_APP_008,flag_dob_non_iso_format,0,0.0,502,,Consistency,applicant_info.date_of_birth,applicant_info.date_of_birth_clean,clean,low,Date of birth is not in canonical YYYY-MM-DD form.
post,applications,R_APP_010,flag_annual_income_string_type,0,0.0,502,,Consistency,financials.annual_income,financials.annual_income_clean,derived,low,Annual income is stored as a string or cannot be coerced cleanly.
